instruction, time, count
0x5, 0.338419, 430696
0x6, 0.0293881, 36476
0x9, 0.0668514, 77647
0xA, 0.438464, 563174
0xD, 0.0683399, 85212
0xE, 0.0752041, 93715
0x10, 1.75821, 2279028
0x15, 0.0508498, 62204
0x18, 1.94253, 2475463
0x1D, 0.0135354, 15082
0x20, 3.06626, 3911457
0x24, 0.00618054, 7520
0x25, 0.0220914, 26226
0x29, 12.7088, 16671873
0x2A, 0.248849, 322308
0x2C, 0.0054627, 6642
0x30, 1.59499, 2013447
0x38, 1.23027, 1560030
0x40, 0.01591, 18238
0x45, 1.26452, 1556549
0x46, 0.233055, 294172
0x48, 0.558972, 712694
0x49, 0.0560919, 72460
0x4A, 1.40362, 1796921
0x4C, 0.27381, 349030
0x56, 3e-06, 3
0x5E, 4.1e-05, 40
0x60, 3.03452, 3911456
0x65, 0.270385, 337564
0x66, 9.74714, 12506308
0x68, 0.559803, 712694
0x69, 0.36912, 466237
0x6A, 0.0943546, 121025
0x6C, 0.0836737, 103723
0x6D, 0.01615, 18539
0x75, 0.159114, 203547
0x78, 4e-06, 1
0x79, 0.141153, 173671
0x7D, 0.0560349, 67758
0x7E, 3.3e-05, 40
0x84, 0.207182, 262251
0x85, 3.72404, 4840445
0x86, 0.24023, 302941
0x88, 12.2646, 16857666
0x8A, 0.771818, 988915
0x8C, 0.0140125, 16687
0x8D, 1.84571, 1290172
0x8E, 0.0834336, 96800
0x90, 1.40326, 1785480
0x91, 1.04083, 1254391
0x94, 0.000169, 205
0x95, 0.681231, 859437
0x96, 0.0798839, 100911
0x98, 0.502971, 636938
0x99, 1.13088, 1425503
0x9A, 1e-06, 1
0x9D, 1.01868, 1267802
0xA0, 1.0976, 1407803
0xA2, 0.536947, 676297
0xA4, 0.654195, 834472
0xA5, 5.63647, 7251921
0xA6, 0.311484, 387556
0xA8, 0.400622, 509635
0xA9, 1.23177, 1565357
0xAA, 0.260428, 333419
0xAC, 0.0188826, 22042
0xAD, 11.2739, 13550452
0xAE, 0.0676239, 76386
0xB0, 1.07961, 1360630
0xB1, 0.77597, 952131
0xB4, 0.15176, 193010
0xB5, 2.4721, 3212838
0xB6, 0.160238, 202392
0xB9, 0.727468, 904021
0xBC, 0.0550472, 68355
0xBD, 0.765116, 945686
0xBE, 0.011816, 14362
0xC0, 0.527646, 662924
0xC4, 0.0805751, 101199
0xC5, 0.0146426, 17621
0xC6, 0.463117, 584119
0xC8, 3.45465, 4559486
0xC9, 0.821517, 1046453
0xCA, 2.66504, 3530336
0xCC, 0.0119941, 13917
0xCD, 0.00157501, 1768
0xCE, 0.0264464, 30222
0xD0, 14.0659, 19122793
0xD5, 0.156248, 196122
0xD6, 0.0107298, 13252
0xD8, 2e-06, 1
0xD9, 0.346104, 436807
0xDD, 0.00741231, 8211
0xDE, 0.000151, 164
0xE0, 0.22427, 283166
0xE4, 0.158342, 198673
0xE5, 0.27388, 347308
0xE6, 0.396085, 497266
0xE8, 0.789408, 1005692
0xE9, 0.218775, 278454
0xEE, 0.00336802, 3891
0xF0, 12.9363, 16967498
0xF5, 0.174655, 222599
0xF6, 0.0150117, 18557
0xF9, 0.001079, 1109
0xFD, 0.00257402, 2977
0xFE, 0.00572765, 6787
