instruction, time, count
0x5, 0.17536, 210827
0x6, 0.612495, 729597
0x9, 0.181702, 216252
0xA, 1.17948, 1452580
0x10, 0.963849, 1171897
0x18, 2.79352, 3534094
0x19, 0.000750003, 883
0x1D, 1.4e-05, 15
0x20, 1.31457, 1595559
0x25, 0.0151908, 17050
0x26, 1.20359, 1446153
0x29, 1.5576, 1889694
0x2A, 0.790055, 956210
0x2C, 13.8827, 16008729
0x30, 0.863881, 1027922
0x38, 1.6499, 2065938
0x40, 0.000125, 146
0x45, 0.454518, 555655
0x46, 0.0425003, 51129
0x48, 1.17656, 1387600
0x49, 0.312677, 382772
0x4A, 1.09171, 1331350
0x4C, 15.5204, 20867015
0x60, 1.29684, 1594750
0x65, 1.62078, 2008489
0x66, 0.261484, 319324
0x69, 1.32838, 1621940
0x6A, 0.211541, 259391
0x6C, 0.436466, 522713
0x6D, 0.120593, 142014
0x78, 3e-06, 1
0x79, 0.38073, 449408
0x7D, 0.6932, 837509
0x84, 0.479305, 571770
0x85, 6.44608, 8146681
0x86, 0.310946, 372335
0x88, 0.432828, 527962
0x8A, 0.276269, 334733
0x8C, 0.0264024, 28140
0x8D, 2.89914, 3203665
0x8E, 0.0327694, 34346
0x90, 1.4641, 1812310
0x91, 0.0664801, 77395
0x95, 0.0068834, 8323
0x98, 0.208187, 257844
0x99, 2.78861, 3470644
0x9A, 0.130103, 151247
0x9D, 1.35718, 1377082
0xA0, 0.358251, 440450
0xA2, 0.309805, 368337
0xA4, 1.14468, 1372050
0xA5, 3.31432, 4128114
0xA6, 0.979814, 1181676
0xA8, 1.66745, 2050278
0xA9, 1.93265, 2384898
0xAA, 0.593663, 718566
0xAC, 0.0214183, 25351
0xAD, 2.3006, 2761952
0xAE, 0.0555575, 64357
0xB0, 1.79855, 2221973
0xB1, 3.8366, 4705967
0xB4, 2.1e-05, 24
0xB5, 0.0370337, 44742
0xB9, 2.37537, 2891114
0xBA, 0.0380751, 45240
0xBC, 0.282301, 342243
0xBD, 4.04187, 5047733
0xBE, 0.0889182, 105412
0xC0, 0.0502535, 61436
0xC5, 0.210752, 257215
0xC6, 0.0636381, 75250
0xC8, 3.65879, 4700920
0xC9, 0.932552, 1137024
0xCA, 1.21235, 1510016
0xCC, 1e-05, 11
0xCD, 0.0858348, 104057
0xCE, 0.000162, 180
0xD0, 3.36542, 4238360
0xD1, 0.0309686, 36477
0xD8, 1e-06, 1
0xD9, 0.00470886, 5122
0xDD, 0.276736, 334426
0xDE, 0.0218383, 24073
0xE0, 0.525808, 634535
0xE4, 0.20132, 240224
0xE5, 0.914009, 1101819
0xE6, 0.23667, 285178
0xE8, 0.656371, 798132
0xE9, 0.435983, 528597
0xEA, 0.0380682, 45042
0xEC, 7.8e-05, 94
0xED, 0.11995, 139829
0xEE, 0.0153546, 15041
0xF0, 14.2751, 18114302
0xF1, 0.159078, 192840
0xF6, 7e-06, 11
0xF9, 0.885359, 1050988
0xFD, 0.364852, 440529
0xFE, 0.000880004, 928
