instruction	time	count
0x5	0,0857618	105167
0x6	0,00744929	9157
0x8	0,000149	205
0x9	0,00560166	7159
0xA	0,210804	272996
0x10	0,0523623	64334
0x18	1,929	2566063
0x20	0,86145	1073551
0x25	0,0297771	36194
0x26	0,964068	1156672
0x28	0,000164	205
0x29	0,413214	523157
0x2A	0,049747	64920
0x30	0,00429095	5128
0x35	0,0299972	36146
0x38	0,0448708	57529
0x40	0,0155228	18073
0x45	0,000531001	621
0x46	0,0383278	48572
0x48	0,0754871	88180
0x49	7,7e-05	97
0x4A	1,11804	1392719
0x4C	0,833775	1065845
0x4D	0,0150947	18071
0x55	0,0301062	36146
0x60	0,817629	1036546
0x65	1,79386	2347805
0x66	0,0299042	36142
0x68	0,12835	162188
0x69	0,0878624	110485
0x6A	0,000158	205
0x6C	0,0382461	46161
0x6D	0,00490082	5990
0x76	0,00109301	1242
0x78	5e-06	1
0x84	0,108547	136846
0x85	1,98247	2595407
0x86	0,0987671	127365
0x88	3,46484	4632878
0x8A	0,320057	410386
0x8C	0,000616002	766
0x8D	1,03223	343342
0x8E	0,0650851	72312
0x90	0,0184946	24649
0x91	3,62065	4671089
0x94	0,0294151	36146
0x95	1,31311	1708199
0x98	0,107457	136022
0x99	0,270214	280807
0x9A	1e-06	1
0x9D	2,87534	3743753
0xA0	0,194461	250535
0xA2	0,188561	238241
0xA4	0,130469	166890
0xA5	33,2322	51388960
0xA6	0,189846	241947
0xA8	0,208298	267475
0xA9	0,990267	1257413
0xAA	0,289857	376572
0xAC	0,000490001	596
0xAD	0,83904	1016496
0xAE	0,000449001	514
0xB0	0,129675	163661
0xB1	2,43141	3149968
0xB5	0,665755	852497
0xB9	0,103376	126219
0xBA	1,2e-05	14
0xBC	0,00877741	10559
0xBD	2,30617	3004718
0xC0	0,0215353	27007
0xC4	0,000125	161
0xC5	0,011466	14220
0xC6	0,356678	451876
0xC8	2,83038	3805886
0xC9	1,47284	1916111
0xCA	0,417672	520524
0xCD	0,0149868	18054
0xCE	7e-06	9
0xD0	6,45528	8684297
0xD8	7e-06	1
0xDD	0,00839435	9777
0xDE	0,0656695	77575
0xE0	1,87877	2486928
0xE5	0,0154239	18270
0xE6	0,0282659	35422
0xE8	4,1918	5661743
0xE9	0,0379734	47865
0xEE	0,0173722	19412
0xF0	33,2732	52567451
0xFE	0,0443663	52253
