instruction	time	count
0x5	0,331067	419891
0x6	0,0297632	36174
0x9	0,0656729	75813
0xA	0,403792	517995
0xD	0,0632651	78457
0xE	0,0743358	92789
0x10	1,68516	2174830
0x15	0,0449428	55356
0x18	2,06568	2601709
0x1D	0,0122631	14194
0x20	3,14401	3984499
0x24	0,00580562	7093
0x25	0,0206171	24366
0x29	12,5142	16436185
0x2A	0,245778	316420
0x2C	0,0127633	16042
0x30	1,74998	2196948
0x38	1,32312	1672468
0x40	0,0156039	18087
0x45	1,4292	1757432
0x46	0,228728	288967
0x48	0,543669	687365
0x49	0,0549344	70589
0x4A	1,32962	1714461
0x4C	0,255531	324927
0x56	5e-06	4
0x5E	4e-05	43
0x60	3,09652	3984499
0x65	0,260262	323652
0x66	11,0795	14114004
0x68	0,541399	687365
0x69	0,340259	429122
0x6A	0,0907557	116853
0x6C	0,0835992	103029
0x6D	0,0153208	17199
0x75	0,146528	186626
0x78	3e-06	1
0x79	0,129714	159054
0x7D	0,0557148	66988
0x7E	3,7e-05	43
0x84	0,200256	252467
0x85	3,78683	4890773
0x86	0,229676	290166
0x88	11,6359	15924034
0x8A	0,721329	923841
0x8C	0,0124092	14609
0x8D	1,78625	1254682
0x8E	0,0785496	91207
0x90	1,29847	1645533
0x91	0,954604	1159613
0x94	0,000137	174
0x95	0,636601	805749
0x96	0,0732183	92604
0x98	0,470138	603104
0x99	1,06624	1324197
0x9A	1e-06	1
0x9D	0,975734	1212824
0xA0	1,03575	1321617
0xA2	0,500086	631436
0xA4	0,632549	804755
0xA5	6,00526	7696721
0xA6	0,300935	376564
0xA8	0,378837	483568
0xA9	1,15748	1460912
0xAA	0,24783	314256
0xAC	0,0187116	21639
0xAD	10,72	12921401
0xAE	0,0678609	75415
0xB0	1,04835	1311566
0xB1	0,760969	930681
0xB4	0,151096	193089
0xB5	2,2941	2977041
0xB6	0,146592	185364
0xB9	0,710539	881396
0xBC	0,0529689	64159
0xBD	0,727884	897934
0xBE	0,011271	13558
0xC0	0,492799	618333
0xC4	0,0738332	92682
0xC5	0,0144526	17397
0xC6	0,439526	556198
0xC8	3,2274	4244457
0xC9	0,768972	982580
0xCA	2,51571	3320693
0xCC	0,0110759	12974
0xCD	0,00106	1152
0xCE	0,024884	27918
0xD0	13,3662	18111600
0xD5	0,149278	189814
0xD6	0,0109949	13272
0xD8	1e-06	1
0xD9	0,320681	405043
0xDD	0,00700739	8069
0xDE	9,2e-05	104
0xE0	0,211436	267217
0xE4	0,147132	185108
0xE5	0,296236	376472
0xE6	0,370803	467732
0xE8	0,788766	1002944
0xE9	0,209183	265286
0xEE	0,00167901	1887
0xF0	12,7626	16705647
0xF5	0,165196	209897
0xF6	0,0237068	29474
0xF9	0,00162201	1805
0xFD	0,00418897	4754
0xFE	0,00470587	5643
