instruction	time	count
0x5	1,11356	1464565
0x9	0,0251891	30601
0xA	0,0810236	106108
0xD	0,0565677	65505
0x10	0,137364	168667
0x15	0,00116201	1278
0x18	0,267345	343296
0x19	0,000103	113
0x20	0,924911	1187099
0x25	0,011329	13542
0x29	8,40076	11497737
0x2A	0,988996	1293892
0x30	0,304548	401002
0x35	0,0842051	109212
0x38	0,0102097	13471
0x40	0,0150608	18193
0x48	0,945318	1233168
0x49	0,0054357	6986
0x4A	1,90197	2588175
0x4C	0,409142	526472
0x4E	0,0882075	100354
0x60	0,86542	1131387
0x65	0,0782664	98095
0x66	0,0152858	19434
0x68	1,01603	1344586
0x69	0,0962873	125256
0x6A	0,154453	200996
0x6C	0,0447532	55709
0x6D	0,191286	240852
0x71	0,000324	360
0x75	0,00193301	2308
0x78	4e-06	1
0x79	1e-06	2
0x7D	0,00856536	10821
0x81	0,000101	122
0x84	0,0372303	47650
0x85	1,87584	2513783
0x86	0,0399885	49255
0x88	0,0620662	82339
0x8A	0,14782	191044
0x8C	0,0930072	114910
0x8D	1,14229	871123
0x8E	0,191227	196902
0x90	0,15435	188485
0x91	0,00323802	4185
0x95	0,117015	152545
0x98	0,0836876	107751
0x99	0,123546	157596
0x9A	3e-06	4
0x9D	0,206948	244199
0xA0	0,137368	175118
0xA2	0,223824	290862
0xA4	0,111038	145046
0xA5	33,2446	56450694
0xA6	0,0892868	113713
0xA8	0,243481	314651
0xA9	0,408147	529247
0xAA	0,12954	171333
0xAC	0,154072	189917
0xAD	9,32147	11469537
0xAE	0,0263685	33742
0xB0	0,235607	296648
0xB1	0,383399	483520
0xB5	0,011445	13910
0xB9	0,203581	250079
0xBA	1e-06	1
0xBC	0,0082363	10546
0xBD	0,979746	1265403
0xC0	0,657556	862909
0xC5	0,0333673	42507
0xC6	0,928748	1217900
0xC8	0,456399	602691
0xC9	0,92345	1219595
0xCA	0,109972	144663
0xCD	0,0606047	77692
0xCE	0,110923	133648
0xD0	33,2626	57226746
0xD1	0,00222401	2696
0xD5	0,0910874	118213
0xD8	2e-06	1
0xD9	0,000230999	265
0xDD	0,000232999	264
0xDE	0,00241502	2925
0xE0	0,0239749	30843
0xE5	0,00137201	1750
0xE6	0,0744203	92792
0xE8	0,460118	608968
0xE9	0,00530873	6350
0xEA	0,0211092	27904
0xED	0,00714933	9101
0xEE	0,206144	235912
0xF0	9,76704	13584449
0xF5	0,0002	234
0xF6	1e-05	13
0xFD	4,9e-05	58
0xFE	1e-06	1
