instruction	time	count
0x5	0,181532	217274
0x6	0,640794	766105
0x9	0,186431	223760
0xA	1,21401	1495327
0xD	4e-06	3
0x10	1,0459	1273020
0x18	2,93358	3709214
0x19	0,000807003	959
0x1D	6e-06	6
0x20	1,35855	1646903
0x25	0,015958	18057
0x26	1,26567	1518344
0x29	1,60392	1952700
0x2A	0,829449	1000714
0x2C	14,7965	17112645
0x30	0,883077	1044165
0x38	1,7388	2178413
0x40	0,000178	199
0x45	0,491622	599325
0x46	0,0470403	56124
0x48	1,22366	1459032
0x49	0,320583	391901
0x4A	1,13806	1389417
0x4C	17,5095	22659424
0x60	1,33941	1646128
0x65	1,71617	2126159
0x66	0,269767	327756
0x69	1,38249	1694544
0x6A	0,223122	273155
0x6C	0,446323	531570
0x6D	0,12801	150439
0x78	2e-06	1
0x79	0,401679	474798
0x7D	0,718392	860967
0x84	0,480085	579282
0x85	6,72782	8489097
0x86	0,326322	388831
0x88	0,44438	544672
0x8A	0,291563	353123
0x8C	0,0275376	29444
0x8D	3,07798	3419806
0x8E	0,034412	36460
0x90	1,53472	1898091
0x91	0,0693284	81759
0x95	0,0087054	10759
0x98	0,219443	270129
0x99	2,96017	3677986
0x9A	0,135209	159152
0x9D	1,38769	1400010
0xA0	0,371346	455360
0xA2	0,327265	388025
0xA4	1,18309	1422192
0xA5	3,45635	4310306
0xA6	1,01965	1232131
0xA8	1,71711	2132387
0xA9	2,04431	2522913
0xAA	0,608681	737897
0xAC	0,0227356	26898
0xAD	2,43151	2924497
0xAE	0,0589413	68602
0xB0	1,87901	2336518
0xB1	4,06399	5003277
0xB4	2,3e-05	28
0xB5	0,0391155	46869
0xB9	2,43801	2966173
0xBA	0,0404177	47568
0xBC	0,291814	353239
0xBD	4,17557	5208765
0xBE	0,0964653	113010
0xC0	0,0525627	64908
0xC5	0,21495	259729
0xC6	0,0690101	82047
0xC8	3,83699	4934161
0xC9	0,976557	1188049
0xCA	1,48861	1898921
0xCC	1e-05	10
0xCD	0,0918737	111025
0xCE	0,000257999	280
0xD0	3,74046	4768991
0xD1	0,0317538	36884
0xD8	1e-06	1
0xD9	0,00424596	4766
0xDD	0,284285	340976
0xDE	0,0230706	25689
0xE0	0,547011	662046
0xE4	0,210647	252462
0xE5	0,952065	1146733
0xE6	0,241692	289896
0xE8	0,691125	842803
0xE9	0,455454	552330
0xEA	0,039569	47337
0xEC	8,5e-05	106
0xED	0,124866	146114
0xEE	0,0164928	15812
0xF0	15,1897	19302004
0xF1	0,191524	231304
0xF6	1,2e-05	16
0xF9	0,930598	1103033
0xFD	0,373659	449307
0xFE	0,000889004	937
