instruction, time, count
0x5, 0.530236, 667313
0x9, 0.0584243, 70903
0xA, 0.735579, 953683
0xD, 0.0148657, 18386
0xE, 0.00107601, 1232
0x10, 1.25543, 1627422
0x15, 8e-06, 9
0x18, 1.24828, 1632236
0x19, 8e-06, 9
0x1D, 6.4e-05, 72
0x20, 1.60164, 2059991
0x24, 0.00982865, 12246
0x25, 0.0142666, 17654
0x26, 0.0157639, 19914
0x29, 3.52855, 4755607
0x2A, 0.325118, 414099
0x2C, 0.0312026, 39087
0x2D, 0.0252992, 30990
0x2E, 0.00107101, 1245
0x30, 0.304808, 386494
0x38, 0.429336, 556796
0x39, 0.0265405, 32530
0x3D, 0.0337279, 40144
0x40, 0.0155049, 18144
0x45, 0.0146897, 18144
0x46, 0.0772394, 97793
0x48, 0.75201, 954808
0x49, 0.0251651, 31911
0x4A, 1.90297, 2522037
0x4C, 35.7411, 98732595
0x4E, 1.3e-05, 13
0x60, 1.504, 1952165
0x65, 0.224107, 285338
0x68, 0.916459, 1170460
0x69, 0.701774, 897037
0x6A, 0.11558, 150698
0x6C, 0.0860688, 107826
0x6D, 0.0372025, 47106
0x75, 0.102191, 130530
0x78, 4e-06, 1
0x79, 0.368132, 468370
0x7D, 0.116148, 144621
0x7E, 0.101058, 127008
0x84, 0.220134, 282657
0x85, 2.6409, 3495221
0x86, 0.451909, 576511
0x88, 1.08023, 1399945
0x8A, 0.0747985, 96581
0x8C, 0.0510591, 54304
0x8D, 0.98739, 946901
0x8E, 0.0284389, 32862
0x90, 1.16984, 1505002
0x91, 0.0347423, 42581
0x94, 4.6e-05, 61
0x95, 0.190511, 244888
0x98, 0.256818, 330338
0x99, 1.87349, 2410467
0x9A, 1e-06, 1
0x9D, 0.523877, 652412
0xA0, 0.525318, 673934
0xA2, 0.344972, 443768
0xA4, 0.440203, 564671
0xA5, 1.74714, 2283098
0xA6, 0.474516, 607955
0xA8, 0.645052, 836114
0xA9, 0.998651, 1273646
0xAA, 0.165973, 213513
0xAC, 0.429047, 543652
0xAD, 4.25828, 5345708
0xAE, 0.124572, 149495
0xB0, 0.625174, 798760
0xB1, 0.601471, 747889
0xB4, 0.0497573, 63390
0xB5, 1.17307, 1507624
0xB9, 0.819538, 1036913
0xBC, 0.0354192, 44187
0xBD, 1.60383, 2058720
0xBE, 0.285533, 363482
0xC0, 0.30893, 395330
0xC4, 4e-06, 5
0xC5, 0.334686, 430073
0xC6, 0.102884, 131363
0xC8, 3.37324, 4577208
0xC9, 1.90532, 2514405
0xCA, 1.01902, 1323005
0xCC, 0.00018, 224
0xCD, 0.0528217, 66867
0xCE, 0.076689, 90105
0xD0, 3.38082, 4478984
0xD5, 0.062391, 79274
0xD6, 0.000554001, 634
0xD8, 3e-06, 1
0xD9, 0.0166031, 20431
0xDD, 0.045384, 56052
0xDE, 0.0355861, 43328
0xE0, 0.281871, 359267
0xE5, 0.0436706, 55165
0xE6, 0.0759666, 94596
0xE8, 0.549001, 708737
0xE9, 0.187689, 241592
0xED, 0.114002, 142798
0xEE, 0.0148356, 16560
0xF0, 4.16185, 5604862
0xF5, 0.394335, 506236
0xF6, 0.000785003, 943
0xF9, 0.172656, 219065
0xFE, 0.000181, 203
