instruction, time, count
0x5, 1.14656, 1513931
0x9, 0.0266173, 31435
0xA, 0.0853282, 111993
0xD, 0.0569865, 66338
0x10, 0.140756, 173706
0x15, 0.00115301, 1322
0x18, 0.278539, 355839
0x19, 0.000196, 257
0x20, 0.969282, 1246682
0x25, 0.0105548, 12906
0x29, 8.00048, 11103736
0x2A, 1.00775, 1338627
0x30, 0.325197, 422861
0x35, 0.0872813, 114412
0x38, 0.0145237, 19113
0x40, 0.015791, 18801
0x48, 0.972785, 1278058
0x49, 0.00316302, 4158
0x4A, 1.96501, 2685175
0x4C, 0.42419, 546344
0x4E, 0.0885038, 100354
0x60, 0.907239, 1186690
0x65, 0.0837547, 105909
0x66, 0.015997, 20289
0x68, 1.05235, 1398040
0x69, 0.0881712, 113910
0x6A, 0.160055, 207628
0x6C, 0.0473868, 59991
0x6D, 0.202211, 254492
0x71, 0.000503001, 485
0x75, 0.00218801, 2676
0x78, 4e-06, 1
0x79, 3e-06, 4
0x7D, 0.00811026, 10378
0x81, 0.000136, 140
0x84, 0.0409048, 52702
0x85, 1.94908, 2613232
0x86, 0.0413635, 50948
0x88, 0.064891, 86309
0x8A, 0.151205, 195027
0x8C, 0.0984897, 121554
0x8D, 1.18477, 905024
0x8E, 0.198916, 204077
0x90, 0.155366, 190676
0x91, 0.00311802, 4150
0x95, 0.122241, 159563
0x98, 0.0882447, 113182
0x99, 0.127408, 163585
0x9A, 4e-06, 4
0x9D, 0.214475, 253626
0xA0, 0.144111, 183369
0xA2, 0.232967, 303869
0xA4, 0.11928, 156075
0xA5, 33.4238, 59337995
0xA6, 0.0927908, 118798
0xA8, 0.2537, 329532
0xA9, 0.419799, 551642
0xAA, 0.128788, 170545
0xAC, 0.160422, 197004
0xAD, 8.98652, 11083714
0xAE, 0.0272637, 35031
0xB0, 0.247505, 313012
0xB1, 0.397902, 499887
0xB5, 0.0128593, 15812
0xB9, 0.215669, 265373
0xBA, 1e-06, 1
0xBC, 0.00821829, 10522
0xBD, 1.00175, 1300132
0xC0, 0.680443, 893575
0xC5, 0.0344616, 44077
0xC6, 0.959994, 1260639
0xC8, 0.480785, 635008
0xC9, 0.951452, 1260307
0xCA, 0.116042, 153577
0xCD, 0.0635952, 82085
0xCE, 0.114894, 140215
0xD0, 33.4484, 60137284
0xD1, 0.00285102, 3441
0xD5, 0.0945908, 122915
0xD8, 2e-06, 1
0xD9, 0.000331, 373
0xDD, 0.000267999, 314
0xDE, 0.00206701, 2522
0xE0, 0.0226826, 29134
0xE5, 0.00162601, 2096
0xE6, 0.0785543, 98012
0xE8, 0.481927, 635831
0xE9, 0.00760525, 9521
0xEA, 0.020324, 26648
0xED, 0.00895745, 11411
0xEE, 0.207145, 236430
0xF0, 9.53111, 13254961
0xF5, 0.000201, 232
0xF6, 2.2e-05, 23
0xFD, 7.3e-05, 84
0xFE, 3e-06, 3
